"Population in severe multidimensional poverty (%)"
"HDI Rank (2015)","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"92"," Saint Lucia","","","","","","","","0.0","","",""
"142"," Sao Tome and Principe","","","","","16.4","","","","","",""
"162"," Senegal","51.6","","","","","","45.1","","32.6","30.8",""
"66"," Serbia","","0.3","","","","0.0","","","","0.1",""
"179"," Sierra Leone","","","","51.7","","46.4","","","43.9","",""
"0"," Somalia","","63.6","","","","","","","","",""
"119"," South Africa","","","","1.4","","","","1.3","","",""
"181"," South Sudan","","","","","","69.6","","","","",""
"165"," Sudan","","","","","","31.9","","","","",""
"97"," Suriname","","3.6","","","","2.0","","","","",""
"148"," Swaziland","","","","","","7.4","","","","",""
"149"," Syrian Arab Republic","","0.9","","","1.3","","","","","",""
"129"," Tajikistan","2.3","","","","","","","1.2","","",""
"151"," Tanzania (United Republic of)","","","","","","32.1","","","","",""
"87"," Thailand","","0.1","","","","","","","","",""
"82"," The former Yugoslav Republic of Macedonia","0.7","","","","","","0.1","","","",""
"133"," Timor-Leste","","","","","","31.5","","","","",""
"166"," Togo","","28.8","","","","26.4","","","","23.2",""
"65"," Trinidad and Tobago","","0.2","","","","","","","","",""
"97"," Tunisia","","","","","","","","0.2","","",""
"111"," Turkmenistan","","0.1","","","","","","","","",""
"163"," Uganda","","41.5","","","","","33.3","","","",""
"84"," Ukraine","","","0.0","","","","","0.0","","",""
"105"," Uzbekistan","","0.1","","","","","","","","",""
"134"," Vanuatu","","","7.3","","","","","","","",""
"115"," Viet Nam","","","","","","","1.3","","","0.6",""
"168"," Yemen","","18.4","","","","","","","19.4","",""
"139"," Zambia","","","31.3","","","","","","","22.5",""
"154"," Zimbabwe","","15.7","","","","","12.2","","","7.8",""
"ll: Missing indicators on nutrition.kk: The HDRO specifications refer to somewhat modified definitions of deprivations in some indicators compared to the 2010 specifications. See Kovacevic and Calderon (2014) for details.mm: Refers to urban areas only oo: Missing indicator on child mortality.qq: Missing indicator on type of floor.pp: Missing indicator on cooking fuel.nn: Missing indicator on electricity. rr: Missing indicator on school attendance."
