"International student mobility (% of total tertiary enrolment)"
"7"," Netherlands","0.3","2.9","2.4","3.2","5.4",""
"13"," New Zealand","1.2","15.4","12.4","13.6","13.7","14.0"
"187"," Niger","","","-7.4","-8.0","-5.1",""
"1"," Norway","-2.7","0.3","0.8","0.5","-2.1","-3.4"
"52"," Oman","","","-10.6","-8.7","","-11.8"
"114"," Palestine, State of","-12.8","","-7.8","-7.8","-8.7","-9.8"
"116"," Philippines","","-0.1","","","",""
"36"," Poland","-0.7","-0.9","-0.6","-0.4","0.1","0.2"
"41"," Portugal","0.1","1.2","-0.5","-0.0","1.5","1.4"
"33"," Qatar","","5.6","18.7","21.7","20.7","16.6"
"50"," Romania","0.0","-1.3","-1.2","-1.4","",""
"49"," Russian Federation","0.2","0.6","","1.3","1.5","1.2"
"159"," Rwanda","","","","","-7.7","-5.7"
"92"," Saint Lucia","","","-54.8","-41.7","-48.7","-31.5"
"104"," Samoa","-72.0","","","","",""
"38"," Saudi Arabia","-0.8","0.1","-1.7","-1.6","-1.4","-0.8"
"66"," Serbia","","","-1.5","-2.3","-1.7","-1.2"
"63"," Seychelles","","","","-215.3","-473.0","-198.3"
"5"," Singapore","","","13.1","11.2","12.7","10.3"
"40"," Slovakia","-3.1","-9.3","-9.7","-10.7","-10.8","-10.9"
"25"," Slovenia","-6.0","-1.4","-0.5","-0.5","-0.1","-0.1"
"119"," South Africa","","","","","3.6",""
"27"," Spain","0.7","-0.4","1.7","1.9","1.3","1.4"
"73"," Sri Lanka","","","","-6.7","-5.9","-5.1"
"148"," Swaziland","-26.7","","","-48.6","","-32.8"
"14"," Sweden","3.7","1.6","3.5","4.3","2.4","1.8"
"2"," Switzerland","12.1","13.6","10.8","11.6","12.1","12.6"
"129"," Tajikistan","3.3","-1.4","-2.5","-3.0","-2.7","-4.2"
"87"," Thailand","","-0.9","-0.4","-0.3","-0.2",""
"82"," The former Yugoslav Republic of Macedonia","-11.7","-14.9","","","-5.2",""
"65"," Trinidad and Tobago","-36.4","","","","",""
"97"," Tunisia","-4.2","","","-4.8","-4.8","-3.2"
"71"," Turkey","","-1.8","-0.7","-0.6","-0.3","0.2"
"163"," Uganda","","","","7.2","",""
"84"," Ukraine","","-0.1","0.1","0.1","0.3","0.5"
"42"," United Arab Emirates","","","","35.4","37.6","38.2"
"16"," United Kingdom","9.9","12.9","14.7","15.7","16.1","16.3"
"10"," United States","3.3","3.1","3.1","3.1","3.2","3.6"
"105"," Uzbekistan","","","-8.2","-8.3","",""
"115"," Viet Nam","-1.2","-1.4","-2.2","-2.2","-2.2","-2.2"
"168"," Yemen","","","","-0.8","",""
"154"," Zimbabwe","","","-25.7","-30.1","-16.7",""
"ii: Data refer to 2013 or the most recent year available. "
